node average_head average_energy_intensity 
CTY_AL1 nan nan 
CTY_AL2 nan nan 
CTY_AL3 57.337613939793435 226.82847362667502 
CTY_AR1 41.31301417205499 163.43491299453586 
CTY_AR2 42.68858772572187 168.87670291392647 
CTY_AZU 63.73582195155295 252.13988192450356 
CTY_BEL1 49.33717016346318 195.17859625252137 
CTY_BEL2 47.82342031964874 189.19017882577623 
CTY_BEL3 nan nan 
CTY_BEL4 51.72554131806354 204.6270288995589 
CTY_BEL5 49.75055901462068 196.81396884093778 
CTY_BEL6 65.7442213271868 260.085140429438 
CTY_BEL7 48.47564174849508 191.77037672740443 
CTY_BHL 71.72150431427387 283.7313629216978 
CTY_BUR 121.75265873639356 481.6553714663542 
CTY_CER 34.1811436178597 135.22112450989815 
CTY_COV1 85.13604671748647 336.7994968854877 
CTY_COV2 179.6652100112029 710.7583059429276 
CTY_CP1 57.38630783707805 227.02110742562598 
CTY_CP2 48.994537268868754 193.82313530542393 
CTY_CP3 13.942244289601051 55.15573065982777 
CTY_DOW 52.61253717582189 208.13599801605852 
CTY_ELM1 48.27186724068288 190.96424167233215 
CTY_ELM2 49.40427370756729 195.44405889455007 
CTY_ELS 52.83163931379756 209.0027694093981 
CTY_GDL 223.05540916452873 882.4105943454576 
CTY_GDR 245.96949294950738 973.0590586320618 
CTY_HUP 103.25360516811837 408.4728339293715 
CTY_ING1 50.44935029483525 199.57839778353625 
CTY_ING2 22.600749376237783 89.40890859556953 
CTY_LAV1 191.55110851482058 757.7791013685645 
CTY_LAV2 nan nan 
CTY_LAV3 228.69858306407747 904.7350762010961 
CTY_LAX1 54.065827946001264 213.88523842710293 
CTY_LAX2 101.40400079933879 401.1557708889728 
CTY_LAX3 35.50515945938374 140.4589513351614 
CTY_LAX4 25.12259595066117 99.38537203539393 
CTY_LAX5 51.643397661695566 204.30206734445093 
CTY_LBH 53.60300412993443 212.05430036493053 
CTY_LKW 26.081424233640455 103.17851131961056 
CTY_LOM 43.65218447387279 172.688706318955 
CTY_LYN 50.03932056859627 197.95631394443524 
CTY_MBC 50.62468897041507 200.2720402534035 
CTY_MON1 112.06276925385775 443.322021159125 
CTY_MON2 61.43121030025554 243.02280314764775 
CTY_MTP 128.8256767090122 509.63633824233074 
CTY_NOR1 38.03503306389544 150.46716982821494 
CTY_NOR2 46.31889681871063 183.23826095190725 
CTY_NOR3 51.13270327195997 202.28175256408582 
CTY_NOR4 53.32841248663564 210.96801164378658 
CTY_NOR5 32.74877326690032 129.55464559577072 
CTY_PAR 50.90985057995293 201.4001439219015 
CTY_PAS 51.249082309157835 202.74214980694026 
CTY_PCR1 18.01917330102297 71.28412389426158 
CTY_PCR2 65.23252259375734 258.06085245013026 
CTY_PNM 107.98068346263058 427.1732276252771 
CTY_SFE 35.705515729752854 141.2515637908712 
CTY_SFS 64.3580019040542 254.60123528837332 
CTY_SGT 53.57439117757236 211.94110708979608 
CTY_SIE 104.01554269402739 411.48707038124587 
CTY_SIG 76.19983090439383 301.44769108814893 
CTY_SMC 42.31640683825479 167.40434965720004 
CTY_SPA 75.00605487585167 296.72509494575166 
CTY_TOR1 44.2656923018156 175.11575262605118 
CTY_TOR2 50.83100636493839 201.08823500701666 
CTY_TOR3 49.60127599521839 196.22340294356792 
CTY_VER 132.14216401006968 522.756412493956 
CTY_WHT 59.81884855277013 236.64427552875895 
CWD_CRE1 186.1763133598841 736.5163299122836 
CWD_CRE2 159.0631381999357 629.2561962213083 
CWD_LA1 nan nan 
CWD_LA2 nan nan 
CWD_LA3 nan nan 
CWD_LAH 69.34001653039033 274.31016099400523 
CWD_LAP1 181.76826948981284 719.0780412562963 
CWD_LAP2 186.6718336295261 738.4766156425549 
CWD_LAP3 121.30239788862808 479.8741326980346 
CWD_LAP4 150.09550221502388 593.7800917459272 
CWD_ORC1 nan nan 
CWD_ORC2 nan nan 
CWD_ORC3 49.054673699091914 194.06103593887545 
CWD_PIC1 nan nan 
CWD_PIC2 72.03012574133648 284.9522739854649 
CWD_PIC3 47.22666277794349 186.82939690603422 
CWD_ROW 59.79695855414058 236.55767836093742 
CWD_SAV 45.68614589705175 180.7350886731225 
CWD_SGB1 64.87843848914073 256.66009034185726 
CWD_SGB2 42.99491277541574 170.08852947386384 
CWD_VAL1 nan nan 
CWD_VAL2 38.37998492565551 151.83180464472255 
CWD_VAL3 28.355696240479826 112.17556600111386 
CWD_VAL4 140.35745503830924 555.2562288673964 
CWD_WVA 63.451032610763356 251.01325095684098 
IOU_CA1 120.51984205208737 476.77832989541787 
IOU_CA2 18.48727876331865 73.13595622932053 
IOU_CA3 82.56990911575085 326.6478174673503 
IOU_CA4 37.87385292718548 149.82953875365973 
IOU_CA5 66.93886038262478 264.8111507193735 
IOU_CWS1 45.55620840702348 180.22105398446348 
IOU_CWS10 52.11297304677915 206.1597147164362 
IOU_CWS11 64.62926880124232 255.6743712632891 
IOU_CWS12 165.79489201331563 655.8871167880917 
IOU_CWS13 -29.20715252821326 -115.54394003755719 
IOU_CWS2 44.0833397581144 174.3943631871199 
IOU_CWS3 15.615226586667097 61.77407409571624 
IOU_CWS4 nan nan 
IOU_CWS5 nan nan 
IOU_CWS6 nan nan 
IOU_CWS7 nan nan 
IOU_CWS8 nan nan 
IOU_CWS9 nan nan 
IOU_EPS 64.28424543290157 254.30945356565974 
IOU_GSM1 41.53441721670333 164.3107868097005 
IOU_GSM10 42.346790037467336 167.5245460558244 
IOU_GSM11 49.664597596392355 196.4739041617904 
